package,organization,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,package_id,duration_median,project_age,num_users,crowd_pct,crowd,total_issues,gini_coefficient,avg_clustering,avg_min_path,nodes,total_contributors,avg_comments,avg_first_comment,avg_active_time,crowd_pct_2,issues_over_time,avg_clusteringXcrowd_pct,avg_min_pathXcrowd_pct,gini_coefficientXcrowd_pct,issues_per_user
noCAPTCHA,ARCANEDEV,0.018169427651683896,0.011082590006443918,0.021066349950067852,0.012080159931614692,0.011082589987437335,0.011082590006443918,0.011082589987437335,0.014110202691992936,0.01870694639617387,0.011082589987437335,0.028519614656664888,0.05980789279375149,0.012109927814073709,0.03532651593262444,0.05526231256864813,0.012302080939086725,0.028306798762356748,0.02607506308324483,0.013994470029613194,0.025040808532919203,0.011585467000853042,0.0305185403807887,0.036949417078677486,0.45891767580594334,90905f87fe6044c0aeb5fc2679c9c4f4,0.0,1759.0,9,0.19607843137254902,10,51,0.47204968944099374,0.2548036758563074,1.9714285714285715,21,3,3.025,0.2,0.675,0.03844675124951941,2.6094371802160317,0.0499615050698642,0.3865546218487395,0.09255876263548897,5.666666666666667
mbedtls,ARMmbed,0.03045594551736807,0.06872450887884309,0.016698413813577555,0.011116409926993273,0.0178392420568299,0.1086541116998599,0.017997100341088344,0.030180284630779812,0.01772729724407105,0.025428426444030754,0.030356787072449196,0.010535703555726241,0.013385350685339512,0.01384783381221407,0.044246394864692375,0.017014982120315658,0.016107703072427794,0.3465743541961718,0.01639359655290297,0.014177879252153016,0.06369532321170882,0.02798489350995912,0.01566687227885534,0.013156788609921932,c82263eaf16b47c3a83c00617ea40299,43.0,654.0,26,0.12869565217391304,74,575,0.616868530492062,0.644125535435185,2.1762476820124164,158,29,4.577483443708609,14.8291390728477,22.5576158940397,0.016562570888468808,79.12844036697247,0.08289615586470207,0.28007361472855447,0.07938829783723929,22.115384615384617
jitwatch,AdoptOpenJDK,0.052358294624199934,0.03697898860320507,0.023537164998002524,0.028466937946184545,0.03317574067799331,0.06696769916957836,0.04883513148592482,0.18650383355687986,0.0580103976720612,0.033012503693096856,0.046297082439238246,0.028289032722787225,0.020939120161888557,0.023205881145992136,0.061421267237052206,0.022684139300628688,0.017257414256446352,0.014130948723272183,0.028081773791115646,0.02289356386411733,0.03274167089383732,0.0383420771803678,0.029496274998613684,0.014122186123949382,f53ad180a43545bdb7602b46e94fb92b,16.0,2355.0,10,0.1322314049586777,16,121,0.5306799336650083,0.3045819851790001,1.9633649932157395,67,3,2.4631147540983607,30.9631147540984,30.1516393442623,0.01748514445734581,4.624203821656051,0.04027530382532233,0.2596185114996019,0.07017255321190193,12.1
html2text,Alir3z4,0.043796652701631605,0.015465608427163076,0.02878179758813025,0.018613062083238253,0.027224025777454867,0.027693038666189683,0.12600304799033674,0.013871298859292572,0.01640400029848226,0.032149678846407265,0.1072993219411863,0.10942874021647084,0.02497925830539316,0.015913094618116266,0.017550296516640595,0.018210392647974746,0.016650953504722565,0.051283678878529894,0.055998028182700554,0.024162305454309616,0.0485500529218741,0.10483589730251373,0.021202638738840405,0.012065557439604567,fbf88417d5a3440db511b905d0d56365,14.0,2170.0,22,0.3132530120481928,26,83,0.5504079254079254,0.7963823179027877,2.031790556334736,99,15,4.0524017467248905,17.3624454148472,48.2445414847162,0.09812744955726521,3.442396313364055,0.24946915982496964,0.6364645116229294,0.17241694048922965,3.772727272727273
async-http-client,AsyncHttpClient,0.016866679253959745,0.026683027793835468,0.014763312036499956,0.013911143955505214,0.025672865082886964,0.019658484054247003,0.01332067550075325,0.19154992947719232,0.030568396684793196,0.044691181982823805,0.024677896676533764,0.014028064442218664,0.019995745270161507,0.01605824849853092,0.05326050622311752,0.015556765734359171,0.015625062254937393,0.03870070626133073,0.02524493810638642,0.025521737420751863,0.27159134092030035,0.028333495400548393,0.0177495955385668,0.018218244492658735,2e547feba1414b38a36e9241ba00fc0f,0.0,2000.0,25,0.182648401826484,40,219,0.5817871709306637,0.43083158133607463,1.9889034721393628,290,29,4.08728943338438,5.47013782542113,33.5957120980092,0.03336043868976877,9.855,0.07869069978741089,0.36327004057339957,0.1062624969736372,8.76
DoctrineExtensions,Atlantic18,0.01753614606224337,0.021028025345414304,0.015158902505795317,0.01907968270628131,0.028305122802774033,0.015479423456276613,0.014006964958001676,0.04083162811469144,0.01771109068764134,0.0298001292833331,0.1997514821044495,0.05324550333504332,0.014893459386883922,0.01558781239260871,0.09566559834599192,0.013634010968082342,0.025521458877128617,0.04408547454660771,0.02789283917668122,0.05015756332096864,0.017663989376915833,0.03292207244276984,0.024967145740788253,0.12531790656929007,fd859b3c8c1c428fb61afdc059e892b2,6.0,3393.0,43,0.7162162162162162,53,74,0.6155369383092155,0.6297476354111673,2.220170551816091,1010,12,3.491879350348028,45.4373549883991,99.6589327146172,0.5129656683710738,1.9628647214854114,0.4510354686052955,1.5901221519763895,0.44085753689714086,1.7209302325581395
bowerphp,Bee-Lab,0.036549196550052385,0.02160931945315936,0.012631301562219453,0.02667265770272637,0.018184940840694167,0.2026517049814923,0.11522161289986198,0.021732127430158205,0.018231845679407825,0.028987377501872122,0.01884699243177869,0.029230004914586438,0.039029385929382376,0.01333820836010332,0.04469876894473928,0.013998677418725628,0.012588669580793908,0.023845112524597215,0.03616571183424114,0.022241312912253498,0.03746040582302071,0.03555542050677092,0.06276075991162029,0.0856501265701388,649d23de5a9a40b785f5c207f70578c0,16.0,2293.0,26,0.5283018867924528,28,53,0.5264506069718231,0.5117540861608004,1.9531963470319635,73,8,3.90625,20.5,21.1171875,0.27910288358846563,2.080244221543829,0.2703606492924983,1.031877315413113,0.2781248489662462,2.0384615384615383
cgal,CGAL,0.03031310426617959,0.060808821777339435,0.023514268493123977,0.0596484403406699,0.017419096376811206,0.1730199889205693,0.018842917881846666,0.014701639207458473,0.018156348002250806,0.025417242408204442,0.021099077759664332,0.03737590259317047,0.036231368209345444,0.03719495765055971,0.0314901029099902,0.04631639362880552,0.0169884676273274,0.08907385314363309,0.09838287421016104,0.02207355481877943,0.017212739063409536,0.032084078955925396,0.03191154743241737,0.020528241766896223,95548fdce40540888c77ee049e1a30dd,21.0,702.0,28,0.09364548494983277,28,299,0.6044694866350918,0.6672848713878472,2.245063365753021,117,21,4.567110036275695,8.20798065296252,15.6698911729141,0.008769476851489356,38.333333333333336,0.06248821538080174,0.2102400476290454,0.05660583821331963,10.678571428571429
green,CleanCut,0.11359749396004915,0.016747683493898335,0.016902114754708493,0.07413931892628914,0.024792870779702176,0.04774514911696315,0.24327365420905006,0.018588770341849765,0.013454416249903085,0.027255025004763254,0.017014519357810003,0.015043109123892498,0.020540328572031245,0.04126066907616186,0.016627851741983318,0.05623076583322196,0.017809263508552345,0.05581896164069313,0.027505525329311168,0.00975138226192425,0.03544318173763328,0.04125850268088632,0.011836352502117762,0.02453350493713667,36ba9cf0a91b4da38f3dece46c202d5e,19.0,2132.0,35,0.391304347826087,36,92,0.5115923009623797,0.6115804253128198,1.9503129890453834,72,10,4.2592592592592595,28.3015873015873,75.8730158730159,0.15311909262759926,3.883677298311445,0.23931407947023384,0.76316595223515,0.20018829168093122,2.6285714285714286
toastr,CodeSeven,0.015197589069987848,0.016992237488521595,0.055045101110101025,0.04108310219718613,0.019781777529898927,0.029916884630883687,0.021621870231231518,0.015167613528564433,0.017764931216522634,0.038919034277341356,0.02708513833077572,0.16895180846712438,0.022300760639465858,0.0458096150561262,0.02869092704832693,0.019990379889016953,0.017931375088535737,0.036208403201025224,0.028981102804575012,0.016346322611043945,0.04179581600528593,0.1392664874129206,0.09248887533757175,0.02236442507688548,010cc194f3fc45a3881342a3446cae4a,20.0,2874.0,41,0.6419753086419753,52,81,0.5553952563303353,0.639333934523732,2.3807010519419065,394,16,3.151821862348178,38.2327935222672,125.641700404858,0.4121322969059594,2.536534446764092,0.4104365999411613,1.5283512926046807,0.35655004110095595,1.975609756097561
